tag,place,user
"""been""","Las Vegas, NV, USA",Vulcanlore
"""been""","Yermo, CA, USA",Vulcanlore
"""been""","Wawona, CA, USA",Vulcanlore
"""been""","Seal Beach, CA, USA",Vulcanlore
"""been""","Cabo San Lucas, Mexico",Vulcanlore
"""been""","Santa Monica, CA, USA",Vulcanlore
"""been""","Los Angeles, CA, USA",Vulcanlore
"""been""","La Jolla, CA, USA",Vulcanlore
"""been""","Moreno Valley, CA, USA",Vulcanlore
"""been""","Prescott, AZ, USA",Vulcanlore
"""want""","San Antonio, TX, USA",Vulcanlore
"""been""","Manhattan Beach, CA, USA",Vulcanlore
"""been""","Marina del Rey, CA, USA",Vulcanlore
"""been""","Chula Vista, CA, USA",Vulcanlore
"""been""","Bakersfield, CA, USA",Vulcanlore
"""been""","Norwalk, CA, USA",Vulcanlore
"""been""","San Diego, CA, USA",Vulcanlore
"""been""","Primm, NV, USA",Vulcanlore
"""want""","Anchorage, AK, USA",Vulcanlore
"""been""","Anaheim, CA, USA",Vulcanlore
"""been""","Grand Canyon National Park, AZ, USA",Vulcanlore
